timestamp,session_id,category,action,property_id,property_ref,location,listing_type,property_type,price,filter_data,platform,page_url,referrer,user_agent
2026-01-27T15:04:36.004Z,rs_1769517309918_y8zq1m6bl,click,share,12208,,,,,,"{""platform"":""facebook"",""property_id"":12208}",facebook,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:19:19.037Z,rs_1769517309918_y8zq1m6bl,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:19:23.595Z,rs_1769517309918_y8zq1m6bl,click,share,12208,,,,,,"{""platform"":""facebook"",""property_id"":12208}",facebook,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:20:05.497Z,rs_1769517309918_y8zq1m6bl,click,share,12208,,,,,,"{""platform"":""facebook"",""property_id"":12208}",facebook,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:41:31.954Z,rs_1769517309918_y8zq1m6bl,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:35.239Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":1}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:35.712Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":2}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:36.087Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":3}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:36.355Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":4}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:36.668Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":5}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:36.989Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":6}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:37.353Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":7}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:37.709Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":8}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:37.999Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":9}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:38.283Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":10}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:38.586Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":11}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:38.885Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":12}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:39.215Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":13}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:39.507Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":14}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:39.821Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":15}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:40.090Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":16}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:42:40.338Z,rs_1769517309918_y8zq1m6bl,view,gallery_view,12208,,,,,,"{""property_id"":12208,""image_index"":17}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
